Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
CCG.F,Salazar Resources Limited,0.0415,-0.0015,-3.49%,"7,500","11,466",8.116M,N/A
CHP.F,Citigold Corporation Limited,0.0020,0.0000,0.00%,"30,000","1,428",8.113M,N/A
3GRE.F,Chatham Rock Phosphate Limited,0.0630,+0.0030,+5.00%,"10,000",892,8.097M,N/A
540.F,Tungsten West PLC,0.0255,0.0000,0.00%,"1,500",254,8.038M,N/A
WIMN.F,EarthRenew Inc.,0.0480,0.0000,0.00%,"79,000",137,7.963M,N/A
HRJ1.F,Sienna Resources Inc.,0.0282,-0.0200,-41.49%,"6,000",788,7.957M,N/A
23SP.F,Sonoro Gold Corp.,0.0515,0.0000,0.00%,"170,000","1,517",10.063M,N/A
Q3Q0.F,ISM Resources Corp.,0.2460,-0.0780,-24.07%,836,197,7.915M,N/A
1ZX.F,Chakana Copper Corp.,0.0300,-0.0005,-1.64%,"35,000",625,8.585M,N/A
E8H.F,MTB Metals Corp.,0.0630,0.0000,0.00%,"1,000",196,7.91M,N/A
FKV1.SG,Conroy Gold and Natural Resources plc,0.1600,0.0000,0.00%,0,0,7.91M,N/A
FIY.F,FireFox Gold Corp.,0.0335,-0.0005,-1.47%,"1,150",816,7.908M,N/A
7AZ.F,Sabre Gold Mines Corp.,0.0985,-0.0005,-0.51%,"14,000","1,255",7.402M,3.28
1RR1.F,Rokmaster Resources Corp.,0.0440,+0.0035,+8.64%,"2,000",35,8.26M,N/A
1UR1.F,Bee Vectoring Technologies International Inc.,0.0552,0.0000,0.00%,"16,500","25,576",9.005M,N/A
M8M.SG,Mineral Mountain Resources Ltd.,0.0630,0.0000,0.00%,0,176,7.809M,N/A
XYD.F,Minco Silver Corporation,0.0980,-0.0005,-0.51%,"4,500",322,7.779M,3.27
0IU0.F,US Critical Metals Corp.,0.1280,0.0000,0.00%,700,"4,952",7.773M,N/A
C0O.F,Vital Battery Metals Inc.,0.1760,-0.0070,-3.83%,"2,000",473,7.736M,N/A
T04.F,Titomic Limited,0.0220,-0.0005,-2.22%,"72,500","9,621",7.72M,N/A
1XMA.F,Ximen Mining Corp.,0.0454,-0.0046,-9.20%,"20,000","6,333",7.715M,N/A
LXZ1.F,Norsemont Mining Inc.,0.1030,+0.0030,+3.00%,500,426,7.689M,N/A
9V0.F,Hardide plc,0.1140,-0.0140,-10.94%,200,0,7.662M,N/A
K4L.SG,Nevada Sunrise Metals Corporation,0.0635,-0.0065,-9.29%,0,178,7.631M,N/A
KRB.F,China Nonferrous Gold Limited,0.0040,0.0000,0.00%,"14,372",0,7.596M,N/A
N79.F,Gama Explorations Inc.,0.1280,-0.0120,-8.57%,"45,000","7,907",7.587M,N/A
G3MN.F,GMV Minerals Inc.,0.0870,-0.0140,-13.86%,400,"2,698",7.587M,N/A
8ON.F,Australasian Metals Limited,0.0835,+0.0030,+3.73%,N/A,0,7.584M,N/A
DFPP.F,District Metals Corp.,0.0560,0.0000,0.00%,"50,000","3,046",7.546M,N/A
3GIA.F,Inventus Mining Corp.,0.0335,+0.0030,+9.84%,"2,500",0,7.488M,N/A
BU9.F,Resouro Gold Inc.,0.1290,+0.0050,+4.03%,N/A,0,7.467M,N/A
R9XN.F,Xtract Resources Plc,0.0055,-0.0060,-52.17%,"10,000",0,7.418M,N/A
TJ3.F,Ora Gold Limited,0.0005,0.0000,0.00%,"59,495","17,932",7.41M,N/A
4PY.F,Contact Gold Corp.,0.0105,0.0000,0.00%,"15,000","2,093",4.588M,N/A
C2U0.F,HeliosX Lithium & Technologies Corp.,0.1940,-0.0010,-0.51%,"1,100",19,7.354M,N/A
82J.F,Rocca S.A.,0.7000,0.0000,0.00%,"1,000",0,7.328M,N/A
XTR0.F,X-Terra Resources Inc.,0.3900,0.0000,0.00%,100,110,7.303M,N/A
5KA0.F,First Uranium Resources Ltd.,0.0575,0.0000,0.00%,"10,000",155,7.216M,N/A
BP60.F,Alma Metals Limited,0.0020,-0.0010,-33.33%,"15,000",0,7.204M,N/A
8RR.F,Rockhaven Resources Ltd.,0.0250,+0.0030,+13.64%,2,0,7.171M,N/A
8OH.F,Arcadia Minerals Limited,0.0790,+0.0080,+11.27%,"20,000","3,850",7.162M,N/A
1ZY.F,Medaro Mining Corp.,0.0814,0.0000,0.00%,"2,000","24,271",7.934M,N/A
D7H0.F,Commerce Resources Corp.,0.0700,0.0000,0.00%,520,"4,096",7.788M,N/A
2UM.F,Ubique Minerals Limited,0.0790,0.0000,0.00%,N/A,0,7.607M,N/A
DC3A.F,Diamcor Mining Inc.,0.0510,0.0000,0.00%,"1,000",18,7.104M,N/A
P2P.F,Rockfire Resources plc,0.0035,0.0000,0.00%,"72,500","5,446",7.078M,N/A
8QY.F,Comet Lithium Corporation,0.3404,-0.0146,-4.11%,N/A,9,6.583M,N/A
284.F,Serstech AB,0.0242,-0.0082,-25.31%,"150,000",99,6.654M,N/A
IM50.F,Westward Gold Inc.,0.0815,+0.0030,+3.82%,"30,000","6,770",6.976M,N/A
E4X2.F,Excellon Resources Inc.,0.1662,-0.0114,-6.42%,45,18,6.975M,N/A
A4JN.F,AXMIN Inc.,0.0150,+0.0035,+30.43%,"2,500",0,6.926M,N/A
K6X.F,Larvotto Resources Limited,0.0730,+0.0030,+4.29%,"15,000",0,6.922M,N/A
B7LM.MU,Brigadier Gold Limited,0.0545,0.0000,0.00%,"15,000",365,7.048M,N/A
E7T.F,Alexium International Group Limited,0.0085,0.0000,0.00%,"277,400","5,132",6.079M,N/A
7WV.F,Green Shift Commodities Ltd.,0.0620,+0.0030,+5.08%,"7,150",879,6.887M,N/A
W47.F,Grid Battery Metals Inc.,0.0566,+0.0138,+32.24%,"330,500","5,901",8.787M,N/A
3W3.F,Kaizen Discovery Inc.,0.0740,-0.0005,-0.67%,40,0,6.839M,N/A
M5F.F,Maximus Resources Limited,0.0130,0.0000,0.00%,750,0,6.806M,N/A
RO0A.F,Rockcliff Metals Corporation,0.0075,0.0000,0.00%,1,0,6.779M,N/A
QY5.F,Northgold AB (publ),0.5370,-0.0050,-0.92%,"3,240",241,6.76M,N/A
7BW0.F,Silver Hammer Mining Corp.,0.1360,-0.0100,-6.85%,"15,365","7,762",6.756M,N/A
PP0.F,Alpha Copper Corp.,0.0768,-0.0036,-4.48%,"3,000","1,596",6.732M,N/A
36G.F,GBM Resources Limited,0.0095,+0.0005,+5.56%,"133,000","5,160",6.713M,N/A
3MX.F,Interra Copper Corp.,0.2560,+0.0040,+1.59%,11,51,5.72M,N/A
NK6N.F,StrikePoint Gold Inc.,0.0270,0.0000,0.00%,"10,000",714,6.696M,N/A
G6H.F,Grizzly Discoveries Inc.,0.0395,0.0000,0.00%,10,0,6.663M,N/A
77C.F,Class 1 Nickel and Technologies Limited,0.0410,0.0000,0.00%,15,0,6.66M,N/A
4W0.F,Tempus Resources Limited,0.0170,+0.0010,+6.25%,"3,000",53,6.652M,N/A
TNW.F,TNR Gold Corp.,0.0280,0.0000,0.00%,"50,000","1,223",6.646M,1.40
57Z0.F,TinOne Resources Inc.,0.0680,-0.0054,-7.36%,"4,000","3,951",6.621M,N/A
GY6.F,Lachlan Star Limited,0.0010,0.0000,0.00%,"8,000","1,779",6.62M,N/A
B4T0.F,CuFe Ltd,0.0005,0.0000,0.00%,"3,000","10,276",6.667M,N/A
A7V.F,iMetal Resources Inc.,0.1120,+0.0120,+12.00%,"35,800","32,176",6.601M,N/A
L6X.F,Big Tree Carbon Inc.,0.0355,0.0000,0.00%,500,0,6.552M,N/A
GR2.F,Marvel Gold Limited,0.0070,+0.0005,+7.69%,"5,000",0,6.5M,N/A
4JE1.F,Juggernaut Exploration Ltd.,0.0950,+0.0030,+3.26%,26,"1,961",6.495M,N/A
DH8C.F,Lomiko Metals Inc.,0.0080,0.0000,0.00%,"13,350","2,224",6.479M,N/A
F1S.F,OAR Resources Limited,0.0005,0.0000,0.00%,"25,000","3,303",6.477M,N/A
QE2.F,Hertz Lithium Inc.,0.1470,0.0000,0.00%,"2,000",94,6.47M,N/A
9TI.F,African Pioneer PLC,0.0235,0.0000,0.00%,N/A,0,6.465M,N/A
KB2.F,Matsa Resources Limited,0.0155,0.0000,0.00%,"80,000","7,639",6.445M,N/A
4LE0.F,Golden Shield Resources Inc.,0.1440,-0.0010,-0.69%,"3,000",727,6.196M,N/A
K1SN.F,Klondike Silver Corp.,0.0220,0.0000,0.00%,"25,000",896,6.406M,N/A
Y87.F,Golconda Gold Ltd.,0.0700,-0.0005,-0.71%,"17,600",778,6.404M,N/A
FIRA.F,Pampa Metals Corporation,0.0800,-0.0005,-0.62%,"1,000",17,6.394M,N/A
N6K.F,Canadian Critical Minerals Inc.,0.0185,-0.0035,-15.91%,"48,000",857,6.358M,N/A
V44.F,Tearlach Resources Limited,0.0733,-0.0097,-11.69%,"5,000","8,675",6.315M,N/A
6AY.F,Aston Bay Holdings Ltd.,0.0165,0.0000,0.00%,"1,000",0,7.095M,N/A
U40.F,Paterson Resources Ltd,0.0145,-0.0010,-6.45%,2,0,6.296M,N/A
T5MB.F,Thor Energy Plc,0.0015,0.0000,0.00%,"20,000","67,025",6.291M,N/A
T5MC.SG,Thor Energy Plc,0.0015,-0.0025,-62.50%,0,"7,894",6.291M,N/A
5AT.F,AJN Resources Inc.,0.1860,-0.0010,-0.53%,800,92,6.279M,N/A
C0J.SG,Cora Gold Limited,0.0375,0.0000,0.00%,0,0,4.3M,N/A
V4JA.F,Starcore International Mines Ltd.,0.0885,-0.0005,-0.56%,"3,000",455,6.233M,N/A
MJH.F,Australian Mines Limited,0.0060,0.0000,0.00%,"36,000","5,226",6.199M,N/A
8XJ.F,African Gold Limited,0.0330,-0.0010,-2.94%,"10,000","3,011",6.174M,N/A
7M8.F,EcoRub AB (publ),0.0144,-0.0042,-22.58%,"68,500",0,6.005M,N/A
48S1.F,Sarama Resources Ltd,0.0370,-0.0005,-1.33%,"8,213",0,8.617M,N/A
LACB.F,Sterling Metals Corp.,0.0510,-0.0070,-12.07%,"2,000",0,6.077M,N/A
2BC.F,Gold Lion Resources Inc.,0.0505,-0.0035,-6.48%,"16,000","7,557",5.399M,N/A
GRK.F,Granite Creek Copper Ltd.,0.0305,0.0000,0.00%,"10,000","1,553",6.054M,N/A
C3Q.F,Myriad Uranium Corp.,0.2060,-0.0040,-1.90%,170,421,6.026M,N/A
YXEP.F,Quebec Precious Metals Corporation,0.0490,+0.0035,+7.69%,"7,000",143,6.32M,N/A
BR0.F,Benton Resources Inc.,0.0315,-0.0010,-3.08%,43,0,5.983M,N/A
7KO.F,Cullinan Metals Corp.,0.1950,+0.0040,+2.09%,"4,000","1,678",5.978M,N/A
LFY.F,Valor Resources Limited,0.0005,0.0000,0.00%,100,"6,478",5.965M,N/A
P7J2.SG,New Age Metals Inc,0.0295,+0.0005,+1.72%,0,642,2.244M,N/A
ZE0.F,Waraba Gold Limited,0.0390,0.0000,0.00%,"6,000",0,5.909M,N/A
970.F,Kingfisher Metals Corp.,0.0540,+0.0070,+14.89%,"30,000",535,5.894M,N/A
9QY.F,Arctic Minerals AB (publ),0.0322,-0.0024,-6.94%,"5,850",0,5.739M,N/A
8BY1.F,Baroyeca Gold & Silver Inc.,0.0025,0.0000,0.00%,595,10,5.785M,N/A
0ED.F,Prospect Ridge Resources Corp.,0.1040,0.0000,0.00%,"12,000",0,6.131M,N/A
NPM.F,NewPeak Metals Limited,0.0005,0.0000,0.00%,"300,000","11,035",5.737M,N/A
O4T.F,Marvel Discovery Corp.,0.0385,-0.0005,-1.28%,69,47,5.72M,N/A
T76.F,Ceres Global Ag Corp.,1.5800,-0.0540,-3.30%,N/A,0,N/A,N/A
9RR.F,Renforth Resources Inc.,0.0115,0.0000,0.00%,"14,880",265,5.679M,N/A
5QN.F,Fortune Bay Corp.,0.1310,-0.0070,-5.07%,647,517,5.628M,N/A
B7LM.F,Brigadier Gold Limited,0.0440,0.0000,0.00%,"1,500","2,218",8.381M,N/A
TO1.F,Collective Metals Inc.,0.2100,+0.0140,+7.14%,"12,000",434,5.538M,N/A
4NP.F,Majuba Hill Copper Corp.,0.0870,0.0000,0.00%,450,200,4.822M,N/A
L5Y.F,Golden Spike Resources Corp.,0.1420,-0.0040,-2.74%,N/A,0,5.532M,N/A
N2W.F,ESGold Corp.,0.0185,+0.0030,+19.35%,950,89,5.492M,N/A
3G7.F,Lode Metals Corp.,0.0600,0.0000,0.00%,760,13,5.209M,N/A
NU0.F,CopperCorp Resources Inc.,0.0755,0.0000,0.00%,"1,000",0,5.484M,N/A
S3I.F,Astra Exploration Inc.,0.0870,-0.0005,-0.57%,N/A,0,5.46M,N/A
1TT0.F,Dominion Minerals Limited,0.0180,+0.0030,+20.00%,"10,000",195,5.441M,N/A
CSI.F,Century Sunshine Group Holdings Limited,0.0010,0.0000,0.00%,500,8,5.436M,N/A
6GS.F,CMX Gold & Silver Corp.,0.0695,+0.0210,+43.30%,"10,000",0,5.427M,N/A
P8O.SG,Metalicity Limited,0.0005,0.0000,0.00%,0,0,1.354M,N/A
DM8.F,Vortex Metals Inc.,0.0900,-0.0060,-6.25%,"42,500","12,710",5.407M,N/A
4VXA.F,Origen Resources Inc.,0.1240,0.0000,0.00%,"15,000","9,890",4.723M,N/A
O5K.F,Arctic Fox Lithium Corp.,0.0970,-0.0005,-0.51%,"4,150",74,5.329M,N/A
29HA.F,Libero Copper & Gold Corporation,0.0492,+0.0034,+7.42%,"10,000","1,620",5.323M,N/A
F7E1.F,Fokus Mining Corporation,0.0300,-0.0245,-44.95%,"19,740",0,5.254M,N/A
AMO1.F,Gungnir Resources Inc.,0.0300,0.0000,0.00%,"10,000",178,5.213M,N/A
43W.F,Fuse Battery Metals Inc.,0.0240,-0.0030,-11.11%,"1,833","2,555",5.205M,N/A
7UA.F,Gelum Resources Ltd.,0.1205,-0.0015,-1.23%,"4,000",285,5.199M,N/A
CKC2.F,Volcanic Gold Mines Inc.,0.0842,-0.0004,-0.47%,"1,000",17,5.182M,N/A
C730.F,US Copper Corp.,0.0355,+0.0030,+9.23%,"6,000","2,744",5.167M,N/A
LGO.F,Leocor Gold Inc.,0.0760,0.0000,0.00%,"3,500",125,5.156M,N/A
T6E.F,Sassy Gold Corp.,0.0595,0.0000,0.00%,"7,633",0,5.154M,N/A
6NNA.F,Golden Independence Mining Corp.,0.2780,+0.0060,+2.21%,444,751,5.142M,N/A
4O21.F,CO2 Gro Inc.,0.0570,-0.0080,-12.31%,"20,000",645,5.136M,N/A
VV00.F,Edison Lithium Corp.,0.0290,+0.0085,+41.46%,"10,000","1,680",5.104M,N/A
DCR1.F,Canadian Palladium Resources Inc.,0.0256,0.0000,0.00%,"11,000",687,5.102M,N/A
CWA0.F,Refined Metals Corp.,0.0810,-0.0035,-4.14%,100,"6,254",5.063M,N/A
6HS.F,Horseshoe Metals Limited,0.0050,+0.0010,+25.00%,"10,000",178,5.046M,N/A
TUY.F,Kingsmen Resources Ltd.,0.2480,+0.0200,+8.77%,62,0,4.996M,N/A
INEN.F,Indigo Exploration Inc.,0.0950,-0.0150,-13.64%,"10,000","39,385",4.985M,N/A
KCG.F,Trailbreaker Resources Ltd.,0.1690,+0.0070,+4.32%,"13,899",253,4.906M,N/A
AHS.F,Admiralty Resources NL,0.0015,0.0000,0.00%,25,0,4.907M,N/A
8CHA.F,CAT Strategic Metals Corporation,0.0130,+0.0005,+4.00%,"60,000","17,500",3.148M,N/A
C3Y3.MU,Norseman Silver Inc.,0.0505,+0.0015,+3.06%,"20,001",0,1.795M,N/A
PHO.F,Gibb River Diamonds Limited,0.0145,-0.0005,-3.33%,300,0,4.874M,N/A
I970.F,Xali Gold Corp.,0.0350,0.0000,0.00%,440,188,4.873M,N/A
2XI.F,Xiwang Special Steel Company Limited,0.0006,-0.0003,-33.33%,443,7,6.728M,N/A
UZS.F,URA Holdings Plc,0.0280,-0.0010,-3.45%,133,356,4.845M,N/A
UB1.F,Terra Balcanica Resources Corp.,0.0530,0.0000,0.00%,"30,000",894,4.782M,N/A
PNX.F,Pasinex Resources Limited,0.0180,+0.0020,+12.50%,"50,000","1,704",4.766M,N/A
TZO.F,Tsodilo Resources Limited,0.0840,-0.0010,-1.18%,"2,500",337,4.766M,N/A
N8I1.MU,Ares Strategic Mining Inc.,0.1630,+0.0070,+4.49%,840,15,11.045M,N/A
RM4B.F,Corcel Plc,0.0005,0.0000,0.00%,"1,700",30,4.743M,N/A
JR1.F,EV Nickel Inc.,0.0795,0.0000,0.00%,"15,000",276,4.74M,N/A
4KL.F,E79 Resources Corp.,0.0626,+0.0022,+3.64%,695,35,4.076M,N/A
DZX.F,Minera IRL Limited,0.0105,0.0000,0.00%,"330,000","9,289",4.692M,N/A
P8O.F,Metalicity Limited,0.0010,0.0000,0.00%,"7,000",0,4.688M,N/A
AQM.F,Adamera Minerals Corp.,0.0155,0.0000,0.00%,"55,000","2,442",4.642M,N/A
9LM0.F,Highlander Silver Corp.,0.0670,-0.0070,-9.46%,"8,334",297,4.634M,N/A
CCY.F,Ceylon Graphite Corp.,0.0290,-0.0010,-3.33%,"10,000","1,428",4.594M,N/A
DSD.F,Deep-South Resources Inc.,0.0200,0.0000,0.00%,550,488,4.605M,N/A
A2V5.MU,Gold Bull Resources Corp.,0.0466,0.0000,0.00%,"24,000",0,4.583M,N/A
7S2.F,Scotch Creek Ventures Inc.,0.0940,+0.0030,+3.30%,"31,100","1,233",4.555M,N/A
E97.F,Tisdale Clean Energy Corp.,0.2760,+0.0020,+0.73%,10,714,4.545M,N/A
2JS.F,Spey Resources Corp.,0.0304,0.0000,0.00%,"8,000","9,992",5.355M,N/A
SW0M.F,Stakeholder Gold Corp.,0.2820,0.0000,0.00%,500,8,4.52M,N/A
8N6.F,Triumph Gold Corp.,0.1010,+0.0020,+2.02%,"7,500",817,4.5M,N/A
POTA.F,Portofino Resources Inc.,0.0230,-0.0002,-0.86%,"10,000","1,021",4.447M,N/A
9RV.F,Versarien plc,0.0165,-0.0115,-41.07%,125,"4,111",4.385M,N/A
3FA.F,Falcon Gold Corp.,0.0290,-0.0185,-38.95%,"5,000","1,017",4.299M,N/A
4XH.F,Freeport Resources Inc.,0.0230,-0.0090,-28.13%,"35,940","2,520",4.296M,N/A
YBB.F,Carnavale Resources Limited,0.0008,0.0000,0.00%,"6,666",119,4.287M,N/A
YBB.SG,Carnavale Resources Limited,0.0010,0.0000,0.00%,0,0,4.287M,N/A
7N6.F,Wishbone Gold Plc,0.0105,-0.0015,-12.50%,250,0,4.456M,N/A
1WV0.F,Walker River Resources Corp.,0.0775,-0.0010,-1.27%,"7,666",0,4.203M,N/A
63G.F,MAS Gold Corp.,0.0165,0.0000,0.00%,"5,000",89,4.25M,0.82
SAL.F,Sabre Resources Limited,0.0050,+0.0010,+25.00%,"10,000",178,4.206M,0.25
41Q.F,Optimum Ventures Ltd.,0.0875,-0.0075,-7.89%,"3,500",0,4.67M,N/A
5IP.F,Green Minerals AS,0.2330,-0.0090,-3.72%,1,1,4.184M,N/A
2QPA.F,Prosper Gold Corp.,0.1000,0.0000,0.00%,"7,500",133,4.16M,N/A
X28.F,First Lithium Minerals Corp.,0.0430,-0.0070,-14.00%,"2,000",566,4.149M,N/A
65E0.F,Haranga Resources Limited,0.0570,0.0000,0.00%,666,368,4.149M,N/A
0XX.F,Constellation Resources Limited,0.0630,0.0000,0.00%,10,0,3.91M,N/A
24S.SG,Strategic Minerals Plc,0.0005,0.0000,0.00%,0,0,4.122M,N/A
BRTN.SG,Bravada Gold Corporation,0.0260,+0.0005,+1.96%,0,625,4.717M,N/A
UFX.F,Cauldron Energy Limited,0.0010,-0.0005,-33.33%,151,"3,713",4.091M,N/A
Z25.F,Thunder Gold Corp.,0.0230,0.0000,0.00%,"48,000",857,4.083M,N/A
L73.F,Sanu Gold Corp.,0.0525,-0.0165,-23.91%,"8,000","3,062",4.07M,N/A
977.F,Jayden Resources Inc.,0.0545,0.0000,0.00%,10,134,4.012M,N/A
0GP.F,Leviathan Gold Ltd.,0.0220,+0.0034,+18.28%,"12,000","3,366",4.305M,N/A
U7N1.F,Canada Carbon Inc.,0.0190,-0.0035,-15.56%,200,"1,959",4.011M,N/A
LZ61.F,"Silver Bull Resources, Inc.",0.0870,-0.0100,-10.31%,"1,300",99,4.024M,N/A
V69.F,Caravan Energy Corporation,0.2530,0.0000,0.00%,N/A,0,4.009M,N/A
E9E.F,Great Southern Copper PLC,0.0075,0.0000,0.00%,"25,000",0,4.004M,N/A
9NH.F,Emperor Metals Inc.,0.0800,-0.0050,-5.88%,"45,000","4,090",3.993M,N/A
K2I.F,E-Tech Resources Inc.,0.0335,-0.0005,-1.47%,350,6,3.983M,0.56
7Y2.F,Firebird Metals Limited,0.0525,+0.0035,+7.14%,"7,000",839,3.979M,N/A
NC3.F,Resolution Minerals Limited,0.0015,0.0000,0.00%,"2,000","7,827",3.944M,N/A
L84.F,Storm Exploration Inc.,0.0570,0.0000,0.00%,"2,000",35,3.887M,0.63
S6Q1.F,Silver Spruce Resources Inc.,0.0080,0.0000,0.00%,"5,000","5,267",3.877M,N/A
MXB0.F,Mantle Minerals Limited,0.0005,0.0000,0.00%,"5,000","1,912",3.857M,N/A
1P80.F,Prospech Limited,0.0176,-0.0010,-5.38%,"9,000",583,4.476M,N/A
SU92.F,Inca One Gold Corp.,0.0975,-0.0115,-10.55%,"6,826",183,3.833M,N/A
6IK.F,Caracal Gold plc,0.0005,-0.0005,-50.00%,"60,000",0,3.824M,N/A
KQ9.F,Nine Mile Metals Ltd.,0.0610,-0.0035,-5.43%,200,17,3.796M,N/A
HR5.F,Hudson Resources Inc.,0.0130,0.0000,0.00%,"5,964",642,3.793M,N/A
5D5.F,Aranjin Resources Ltd.,0.0080,0.0000,0.00%,"5,000",0,3.786M,N/A
DGV2.F,Abacus Mining & Exploration Corporation,0.0165,0.0000,0.00%,50,0,3.785M,N/A
UH4.F,Southern Gold Limited,0.0100,-0.0010,-9.09%,"5,000",27,3.768M,N/A
BN5.F,Bezant Resources Plc,0.0005,0.0000,0.00%,"250,000","217,645",3.767M,N/A
6HM.SG,Hammer Metals Limited,0.0380,+0.0015,+4.11%,0,196,10.219M,N/A
G31.F,G6 Materials Corp.,0.0136,-0.0002,-1.45%,"4,500","4,125",3.749M,N/A
80W.F,"Save Foods, Inc.",0.6290,+0.0260,+4.31%,"1,000",445,3.663M,N/A
68B.F,Batero Gold Corp.,0.0145,0.0000,0.00%,"5,000",89,3.694M,N/A
EUS.F,KORE Mining Ltd.,0.0145,0.0000,0.00%,"14,000",23,3.656M,N/A
LIF.F,Tempest Minerals Limited,0.0045,-0.0010,-18.18%,"10,000",178,3.642M,N/A
S35A.F,Stria Lithium Inc.,0.1220,-0.0040,-3.17%,"2,000",0,3.626M,N/A
CLL1.SG,Chibougamau Independent Mines Inc.,0.0550,+0.0020,+3.77%,0,944,3.611M,N/A
SE80.SG,"SenesTech, Inc.",1.1700,-0.0100,-0.85%,0,338,3.596M,N/A
2OA.F,Forte Minerals Corp.,0.0920,-0.0005,-0.54%,N/A,0,3.563M,N/A
BR2.F,Green Battery Minerals Inc.,0.0395,-0.0035,-8.14%,"5,000","3,440",3.559M,N/A
ORS.F,Orex Minerals Inc.,0.0075,0.0000,0.00%,"10,000",930,3.557M,N/A
P1J1.F,Playfair Mining Ltd.,0.0195,-0.0035,-15.22%,111,20,3.55M,N/A
J1Q0.F,Bathurst Metals Corp.,0.1010,0.0000,0.00%,"4,000",0,3.511M,N/A
SE80.F,"SenesTech, Inc.",1.1800,-0.0200,-1.67%,428,347,3.508M,N/A
D4R.F,Romios Gold Resources Inc.,0.0075,-0.0035,-31.82%,"18,000",0,3.507M,N/A
2I7.F,Classic Minerals Limited,0.0005,0.0000,0.00%,1M,1.473M,4.4M,N/A
C5C.F,Cascadero Copper Corporation,0.0025,0.0000,0.00%,"102,000",0,3.482M,N/A
TMSA.F,Transatlantic Mining Corp.,0.0315,-0.0040,-11.27%,"9,000",196,3.478M,N/A
7KXN.F,Bayhorse Silver Inc.,0.0100,0.0000,0.00%,"2,500",113,3.473M,N/A
C3Y3.F,Norseman Silver Inc.,0.0490,0.0000,0.00%,"3,596",64,3.445M,N/A
MRDN.F,Medallion Resources Ltd.,0.0305,0.0000,0.00%,"45,000",382,3.466M,N/A
CLL1.F,Chibougamau Independent Mines Inc.,0.0480,0.0000,0.00%,"3,300",123,3.461M,N/A
W1N.F,Taurus Gold Corp.,0.0510,-0.0005,-0.97%,200,3,3.447M,N/A
1EC.F,Venator Materials PLC,0.0150,+0.0015,+11.11%,"7,000","2,032",1.702M,N/A
9TZ0.F,Mantaro Precious Metals Corp.,0.0490,-0.0035,-6.67%,"10,000","23,170",3.42M,N/A
6J0.F,Kainantu Resources Ltd.,0.0330,+0.0230,+230.00%,"80,000","12,928",3.347M,N/A
A2R.F,Accent Resources NL,0.0045,0.0000,0.00%,425,0,3.265M,N/A
TNW.SG,TNR Gold Corp.,0.0370,0.0000,0.00%,0,53,37.415M,N/A
P11A.F,Red Lake Gold Inc.,0.0525,-0.0005,-0.94%,"25,000",0,3.333M,N/A
RO0A.SG,Rockcliff Metals Corporation,0.0085,-0.0015,-15.00%,0,0,3.311M,N/A
F93.F,Hexagon Energy Materials Limited,0.0060,-0.0030,-33.33%,"12,977","3,719",3.31M,N/A
M5Q.F,Madoro Metals Corp.,0.0150,-0.0005,-3.23%,"20,000",44,3.285M,N/A
5GP.F,K9 Gold Corp.,0.0100,0.0000,0.00%,"45,000","1,857",3.274M,N/A
N3EN.F,Northern Lion Gold Corp.,0.1180,+0.0435,+58.39%,6,23,3.227M,N/A
WRE1.F,Europa Metals Limited,0.0245,+0.0025,+11.36%,"3,000",26,3.208M,N/A
FIG.F,Finlay Minerals Ltd.,0.0185,0.0000,0.00%,"23,000",594,3.19M,N/A
4Y7.F,Plato Gold Corp.,0.0070,0.0000,0.00%,"50,000",0,3.185M,N/A
NWNA.F,Vanadiumcorp Resource Inc.,0.0640,+0.0015,+2.40%,"10,372","5,393",3.184M,N/A
ZJ0.F,Showcase Minerals Inc.,0.2570,-0.0080,-3.02%,N/A,0,3.184M,N/A
EB8.F,Strategic Energy Resources Limited,0.0075,-0.0005,-6.25%,"4,000",0,3.142M,N/A
ERR.F,Etruscus Resources Corp.,0.0815,+0.0035,+4.49%,49,426,3.098M,N/A
WD9.F,Li3 Lithium Corp.,0.0805,0.0000,0.00%,245,93,3.053M,N/A
2CC2.SG,Searchlight Resources Inc.,0.0190,-0.0020,-9.52%,0,"1,391",3.051M,N/A
A7PA.F,Auplata Mining Group,0.0001,0.0000,0.00%,"50,000","2,101",3.039M,N/A
7YS.F,Element79 Gold Corp.,0.0215,-0.0040,-15.69%,"27,800","20,906",3.033M,N/A
Z9A.F,Metalite Resources Inc.,0.0030,0.0000,0.00%,"15,000",232,3.032M,N/A
1GN.F,CBLT Inc.,0.0145,0.0000,0.00%,"12,500",0,1.105M,N/A
SWO.F,Silver Wolf Exploration Ltd.,0.0825,0.0000,0.00%,"2,000",142,3.02M,N/A
C3F.F,Caprice Resources Limited,0.0250,+0.0010,+4.17%,"10,000",535,3.003M,N/A
3FR0.F,Alerio Gold Corp.,0.0120,0.0000,0.00%,500,35,1.794M,N/A
3V41.F,Visible Gold Mines Inc.,0.0670,0.0000,0.00%,"7,600",801,2.946M,N/A
3C2.F,Ranchero Gold Corp.,0.0300,-0.0005,-1.64%,45,2,2.925M,N/A
8AMA.F,Avrupa Minerals Ltd.,0.0235,0.0000,0.00%,1,0,2.912M,N/A
0CM.F,Casa Minerals Inc.,0.0310,0.0000,0.00%,180,0,2.357M,N/A
