Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
GHFH.F,"China Minsheng Banking Corp., Ltd.",0.3320,-0.0040,-1.19%,567,215,18.639B,3.02
SGE1.F,Société Générale Société anonyme,4.5600,-0.0600,-1.30%,100,83,18.56B,14.25
59M0.MU,"MS&AD Insurance Group Holdings, Inc.",17.10,0.00,0.00%,N/A,0,18.568B,19.00
CIM.F,China International Capital Corporation Limited,1.6900,+0.0200,+1.20%,"1,472",132,18.46B,8.89
SVHG.F,Svenska Handelsbanken AB (publ),9.34,+0.22,+2.41%,300,31,15.29B,9.34
OIX.F,ORIX Corporation,16.10,-0.30,-1.83%,500,16,17.944B,10.25
OIXA.F,ORIX Corporation,79.50,-1.50,-1.85%,10,0,17.938B,10.14
59M.F,"MS&AD Insurance Group Holdings, Inc.",32.80,-0.60,-1.80%,145,29,17.912B,18.22
CAI.F,Canadian Imperial Bank of Commerce,39.88,+0.12,+0.30%,99,30,36.821B,10.93
FRYA.F,Swedbank AB (publ),15.90,+0.51,+3.35%,"1,200",262,17.902B,8.32
BTW.F,"Brown & Brown, Inc.",60.02,+0.64,+1.08%,165,4,17.115B,26.56
FRY.MU,Swedbank AB (publ),15.10,0.00,0.00%,500,0,17.075B,7.95
QHH.F,"Dai-ichi Life Holdings, Inc.",16.60,-0.30,-1.78%,500,8,17.075B,9.76
FFX.F,Fairfax Financial Holdings Limited,685.00,+10.00,+1.48%,100,0,17.04B,10.50
FC6A.F,"First Citizens BancShares, Inc.","1,170.00",0.00,0.00%,10,0,16.659B,1.73
LGI.F,Legal & General Group Plc,2.7250,-0.0440,-1.59%,"1,160","3,189",16.624B,6.65
FFH.F,Fifth Third Bancorp,24.20,+0.40,+1.68%,215,97,16.51B,7.54
SLW1.F,Swiss Life Holding AG,26.60,+0.20,+0.76%,8,0,16.448B,10.90
PCR.F,Power Corporation of Canada,24.20,0.00,0.00%,10,3,16.434B,17.41
PG4.F,"Principal Financial Group, Inc.",67.50,+0.50,+0.75%,62,1,16.387B,4.21
206G.F,"Huatai Securities Co., Ltd.",18.00,-0.20,-1.10%,20,0,16.336B,10.91
MKV.F,Markel Group Inc.,"1,212.00",-12.00,-0.98%,1,2,16.176B,64.40
153A.F,"Guotai Junan Securities Co., Ltd.",1.0700,-0.0100,-0.93%,400,7,16.081B,6.29
YBV0.F,"B3 S.A. - Brasil, Bolsa, Balcão",6.75,-0.05,-0.74%,100,1,15.69B,15.70
RN7.DE,Regions Financial Corporation,16.70,0.00,0.00%,485,17,15.67B,7.70
RN7.F,Regions Financial Corporation,16.56,+0.08,+0.52%,749,128,15.538B,7.49
